2018/06/02 15:47:32:27110,98000,14.8
2018/06/02 15:47:32:27130,98020,14.7
2018/06/02 15:47:32:27150,98040,14.6
2018/06/02 15:47:32:27170,98060,14.2
2018/06/02 15:47:32:27190,98080,13.8
2018/06/02 15:47:32:27210,98100,13.2
2018/06/02 15:47:32:27230,98120,12.7
2018/06/02 15:47:32:27250,98140,12.1
2018/06/02 15:47:32:27270,98160,11.5
2018/06/02 15:47:32:27290,98180,11
2018/06/02 15:47:32:27310,98200,10.7
2018/06/02 15:47:32:27330,98220,10.5
2018/06/02 15:47:32:27350,98240,10.2
2018/06/02 15:47:32:27370,98260,9.9
2018/06/02 15:47:32:27390,98280,9.5
2018/06/02 15:47:32:27410,98300,9.2
2018/06/02 15:47:32:27430,98320,9
2018/06/02 15:47:32:27450,98340,8.7
2018/06/02 15:47:32:27470,98360,8.5
2018/06/02 15:47:32:27490,98380,8.3
2018/06/02 15:47:32:27510,98400,8.1
2018/06/02 15:47:32:27530,98420,8
2018/06/02 15:47:32:27550,98440,7.9
2018/06/02 15:47:32:27570,98460,7.8
2018/06/02 15:47:32:27590,98480,7.8
2018/06/02 15:47:32:27610,98500,7.8
2018/06/02 15:47:32:27630,98520,7.8
2018/06/02 15:47:32:27650,98540,7.8
2018/06/02 15:47:32:27670,98560,7.8
2018/06/02 15:47:32:27690,98580,7.8
2018/06/02 15:47:32:27710,98600,7.9
2018/06/02 15:47:32:27730,98620,7.9
2018/06/02 15:47:32:27750,98640,8
2018/06/02 15:47:32:27770,98660,8.1
2018/06/02 15:47:32:27790,98680,8.1
2018/06/02 15:47:32:27810,98700,8
2018/06/02 15:47:32:27830,98720,8.1
2018/06/02 15:47:32:27850,98740,8.4
2018/06/02 15:47:32:27870,98760,8.9
2018/06/02 15:47:32:27890,98780,9.4
2018/06/02 15:47:32:27910,98800,10
2018/06/02 15:47:32:27930,98820,10.8
2018/06/02 15:47:32:27950,98840,11.6
2018/06/02 15:47:32:27970,98860,12.4
2018/06/02 15:47:32:27990,98880,13.2
2018/06/02 15:47:32:28010,98900,14
2018/06/02 15:47:32:28030,98920,14.6
2018/06/02 15:47:32:28050,98940,15.1
2018/06/02 15:47:32:28070,98960,15.5
2018/06/02 15:47:32:28090,98980,15.7
2018/06/02 15:47:32:28110,99000,15.8
2018/06/02 15:47:32:28130,99020,15.7
2018/06/02 15:47:32:28150,99040,15.4
2018/06/02 15:47:32:28170,99060,15
2018/06/02 15:47:32:28190,99080,14.5
2018/06/02 15:47:32:28210,99100,13.9
2018/06/02 15:47:32:28230,99120,13.4
2018/06/02 15:47:32:28250,99140,12.8
2018/06/02 15:47:32:28270,99160,12.2
2018/06/02 15:47:32:28290,99180,11.7
2018/06/02 15:47:32:28310,99200,11.5
2018/06/02 15:47:32:28330,99220,11.2
2018/06/02 15:47:32:28350,99240,10.9
2018/06/02 15:47:32:28370,99260,10.5
2018/06/02 15:47:32:28390,99280,10.2
2018/06/02 15:47:32:28410,99300,9.9
2018/06/02 15:47:32:28430,99320,9.6
2018/06/02 15:47:32:28450,99340,9.3
2018/06/02 15:47:32:28470,99360,9.1
2018/06/02 15:47:32:28490,99380,8.8
2018/06/02 15:47:32:28510,99400,8.6
2018/06/02 15:47:32:28530,99420,8.5
2018/06/02 15:47:32:28550,99440,8.4
2018/06/02 15:47:32:28570,99460,8.3
2018/06/02 15:47:32:28590,99480,8.2
2018/06/02 15:47:32:28610,99500,8.1
2018/06/02 15:47:32:28630,99520,8
2018/06/02 15:47:32:28650,99540,7.9
2018/06/02 15:47:32:28670,99560,7.8
2018/06/02 15:47:32:28690,99580,7.8
2018/06/02 15:47:32:28710,99600,7.7
2018/06/02 15:47:32:28730,99620,7.6
2018/06/02 15:47:32:28750,99640,7.5
2018/06/02 15:47:32:28770,99660,7.4
2018/06/02 15:47:32:28790,99680,7.3
2018/06/02 15:47:32:28810,99700,7.1
2018/06/02 15:47:32:28830,99720,7
2018/06/02 15:47:32:28850,99740,7.1
2018/06/02 15:47:32:28870,99760,7.4
2018/06/02 15:47:32:28890,99780,7.8
2018/06/02 15:47:32:28910,99800,8.4
2018/06/02 15:47:32:28930,99820,9.1
2018/06/02 15:47:32:28950,99840,9.9
2018/06/02 15:47:32:28970,99860,10.8
2018/06/02 15:47:32:28990,99880,11.7
2018/06/02 15:47:32:29010,99900,12.5
2018/06/02 15:47:32:29030,99920,13.3
2018/06/02 15:47:32:29050,99940,13.9
2018/06/02 15:47:32:29070,99960,14.4
2018/06/02 15:47:32:29090,99980,14.7
2018/06/02 15:47:32:29110,100000,14.9
2018/06/02 15:47:32:29130,100020,14.9
2018/06/02 15:47:32:29150,100040,14.8
2018/06/02 15:47:32:29170,100060,14.5
2018/06/02 15:47:32:29190,100080,14.1
2018/06/02 15:47:32:29210,100100,13.6
2018/06/02 15:47:32:29230,100120,13.1
2018/06/02 15:47:32:29250,100140,12.6
2018/06/02 15:47:32:29270,100160,12.1
2018/06/02 15:47:32:29290,100180,11.7
2018/06/02 15:47:32:29310,100200,11.4
2018/06/02 15:47:32:29330,100220,11.1
2018/06/02 15:47:32:29350,100240,10.9
2018/06/02 15:47:32:29370,100260,10.6
2018/06/02 15:47:32:29390,100280,10.4
2018/06/02 15:47:32:29410,100300,10.1
2018/06/02 15:47:32:29430,100320,9.9
2018/06/02 15:47:32:29450,100340,9.7
2018/06/02 15:47:32:29470,100360,9.6
2018/06/02 15:47:32:29490,100380,9.4
2018/06/02 15:47:32:29510,100400,9.3
2018/06/02 15:47:32:29530,100420,9.1
2018/06/02 15:47:32:29550,100440,9
2018/06/02 15:47:32:29570,100460,8.9
2018/06/02 15:47:32:29590,100480,8.8
2018/06/02 15:47:32:29610,100500,8.6
2018/06/02 15:47:32:29630,100520,8.4
2018/06/02 15:47:32:29650,100540,8.3
2018/06/02 15:47:32:29670,100560,8.1
2018/06/02 15:47:32:29690,100580,7.9
2018/06/02 15:47:32:29710,100600,7.8
2018/06/02 15:47:32:29730,100620,7.7
2018/06/02 15:47:32:29750,100640,7.6
2018/06/02 15:47:32:29770,100660,7.6
2018/06/02 15:47:32:29790,100680,7.6
2018/06/02 15:47:32:29810,100700,7.5
2018/06/02 15:47:32:29830,100720,7.5
2018/06/02 15:47:32:29850,100740,7.8
2018/06/02 15:47:32:29870,100760,8.1
2018/06/02 15:47:32:29890,100780,8.6
2018/06/02 15:47:32:29910,100800,9.2
2018/06/02 15:47:32:29930,100820,9.9
2018/06/02 15:47:32:29950,100840,10.6
2018/06/02 15:47:32:29970,100860,11.4
2018/06/02 15:47:32:29990,100880,12.1
2018/06/02 15:47:32:30010,100900,12.9
2018/06/02 15:47:32:30030,100920,13.5
2018/06/02 15:47:32:30050,100940,14.2
2018/06/02 15:47:32:30070,100960,14.7
2018/06/02 15:47:32:30090,100980,15.2
2018/06/02 15:47:32:30110,101000,15.5
2018/06/02 15:47:32:30130,101020,15.7
2018/06/02 15:47:32:30150,101040,15.8
2018/06/02 15:47:32:30170,101060,15.8
2018/06/02 15:47:32:30190,101080,15.7
2018/06/02 15:47:32:30210,101100,15.4
2018/06/02 15:47:32:30230,101120,15.1
2018/06/02 15:47:32:30250,101140,14.7
2018/06/02 15:47:32:30270,101160,14.2
2018/06/02 15:47:32:30290,101180,13.8
2018/06/02 15:47:32:30310,101200,13.4
