Name:,
Gender:,Male
Age:,
Disease:,
Datetime:,20191027_133645
2019/10/27 13:36:53:200,7480,100
2019/10/27 13:36:53:220,7500,100
2019/10/27 13:36:53:240,7520,100
2019/10/27 13:36:53:260,7540,100
2019/10/27 13:36:53:280,7560,100
2019/10/27 13:36:53:300,7580,100
2019/10/27 13:36:53:320,7600,100
2019/10/27 13:36:53:340,7620,100
2019/10/27 13:36:53:360,7640,100
2019/10/27 13:36:53:380,7660,100
2019/10/27 13:36:53:400,7680,100
2019/10/27 13:36:53:420,7700,100
2019/10/27 13:36:53:440,7720,100
2019/10/27 13:36:53:460,7740,100
2019/10/27 13:36:53:480,7760,100
2019/10/27 13:36:53:500,7780,100
2019/10/27 13:36:53:520,7800,100
2019/10/27 13:36:53:540,7820,100
2019/10/27 13:36:53:560,7840,100
2019/10/27 13:36:53:580,7860,100
2019/10/27 13:36:53:600,7880,100
2019/10/27 13:36:53:620,7900,100
2019/10/27 13:36:53:640,7920,100
2019/10/27 13:36:53:660,7940,100
2019/10/27 13:36:53:680,7960,100
2019/10/27 13:36:53:700,7980,100
2019/10/27 13:36:53:720,8000,100
2019/10/27 13:36:53:740,8020,100
2019/10/27 13:36:53:760,8040,100
2019/10/27 13:36:53:780,8060,100
2019/10/27 13:36:53:800,8080,100
2019/10/27 13:36:53:820,8100,100
2019/10/27 13:36:53:840,8120,100
2019/10/27 13:36:53:860,8140,100
2019/10/27 13:36:53:880,8160,100
2019/10/27 13:36:53:900,8180,100
2019/10/27 13:36:53:920,8200,100
2019/10/27 13:36:53:940,8220,100
2019/10/27 13:36:53:960,8240,100
2019/10/27 13:36:53:980,8260,100
2019/10/27 13:36:54:000,8280,100
2019/10/27 13:36:54:020,8300,100
2019/10/27 13:36:54:040,8320,100
2019/10/27 13:36:54:060,8340,0
2019/10/27 13:36:54:080,8360,0
2019/10/27 13:36:54:100,8380,0
2019/10/27 13:36:54:120,8400,0
2019/10/27 13:36:54:140,8420,0
2019/10/27 13:36:54:160,8440,0
2019/10/27 13:36:54:180,8460,0
2019/10/27 13:36:54:200,8480,0
2019/10/27 13:36:54:220,8500,0
2019/10/27 13:36:54:240,8520,0
2019/10/27 13:36:54:260,8540,0
2019/10/27 13:36:54:280,8560,0
2019/10/27 13:36:54:300,8580,0
2019/10/27 13:36:54:320,8600,0
2019/10/27 13:36:54:340,8620,0
2019/10/27 13:36:54:360,8640,43.82
2019/10/27 13:36:54:380,8660,40.66
2019/10/27 13:36:54:400,8680,39.89
2019/10/27 13:36:54:420,8700,41.56
2019/10/27 13:36:54:440,8720,45.56
2019/10/27 13:36:54:460,8740,51.66
2019/10/27 13:36:54:480,8760,59.49
2019/10/27 13:36:54:500,8780,68.59
2019/10/27 13:36:54:520,8800,78.45
2019/10/27 13:36:54:540,8820,88.25
2019/10/27 13:36:54:560,8840,97.49
2019/10/27 13:36:54:580,8860,100
2019/10/27 13:36:54:600,8880,100
2019/10/27 13:36:54:620,8900,100
2019/10/27 13:36:54:640,8920,100
2019/10/27 13:36:54:660,8940,100
2019/10/27 13:36:54:680,8960,100
2019/10/27 13:36:54:700,8980,100
2019/10/27 13:36:54:720,9000,100
2019/10/27 13:36:54:740,9020,100
2019/10/27 13:36:54:760,9040,100
2019/10/27 13:36:54:780,9060,100
2019/10/27 13:36:54:800,9080,99.67
2019/10/27 13:36:54:820,9100,95.82
2019/10/27 13:36:54:840,9120,92.2
2019/10/27 13:36:54:860,9140,88.92
2019/10/27 13:36:54:880,9160,85.89
2019/10/27 13:36:54:900,9180,82.68
2019/10/27 13:36:54:920,9200,79.71
2019/10/27 13:36:54:940,9220,77.36
2019/10/27 13:36:54:960,9240,75.62
2019/10/27 13:36:54:980,9260,74.66
2019/10/27 13:36:55:000,9280,74.28
2019/10/27 13:36:55:020,9300,74.4
2019/10/27 13:36:55:040,9320,74.54
2019/10/27 13:36:55:060,9340,74.74
2019/10/27 13:36:55:080,9360,75.64
2019/10/27 13:36:55:100,9380,77.19
2019/10/27 13:36:55:120,9400,78.75
2019/10/27 13:36:55:140,9420,80.33
2019/10/27 13:36:55:160,9440,81.49
2019/10/27 13:36:55:180,9460,82.36
2019/10/27 13:36:55:200,9480,82.88
2019/10/27 13:36:55:220,9500,82.42
2019/10/27 13:36:55:240,9520,81.16
2019/10/27 13:36:55:260,9540,78.87
2019/10/27 13:36:55:280,9560,75.86
2019/10/27 13:36:55:300,9580,72.17
2019/10/27 13:36:55:320,9600,68.1
2019/10/27 13:36:55:340,9620,64.31
2019/10/27 13:36:55:360,9640,61.1
2019/10/27 13:36:55:380,9660,58.63
2019/10/27 13:36:55:400,9680,57.68
2019/10/27 13:36:55:420,9700,57.73
2019/10/27 13:36:55:440,9720,58.42
2019/10/27 13:36:55:460,9740,59.97
2019/10/27 13:36:55:480,9760,62.07
2019/10/27 13:36:55:500,9780,64.82
2019/10/27 13:36:55:520,9800,68.14
2019/10/27 13:36:55:540,9820,71.52
2019/10/27 13:36:55:560,9840,75.05
2019/10/27 13:36:55:580,9860,77.98
2019/10/27 13:36:55:600,9880,80.03
2019/10/27 13:36:55:620,9900,81.2
2019/10/27 13:36:55:640,9920,81.25
2019/10/27 13:36:55:660,9940,80.31
2019/10/27 13:36:55:680,9960,78.41
2019/10/27 13:36:55:700,9980,75.74
2019/10/27 13:36:55:720,10000,72.61
2019/10/27 13:36:55:740,10020,68.96
2019/10/27 13:36:55:760,10040,65.12
2019/10/27 13:36:55:780,10060,61.23
2019/10/27 13:36:55:800,10080,57.52
2019/10/27 13:36:55:820,10100,54.16
2019/10/27 13:36:55:840,10120,50.95
2019/10/27 13:36:55:860,10140,47.71
2019/10/27 13:36:55:880,10160,44.68
2019/10/27 13:36:55:900,10180,41.76
2019/10/27 13:36:55:920,10200,39.31
2019/10/27 13:36:55:940,10220,37.49
2019/10/27 13:36:55:960,10240,36.05
2019/10/27 13:36:55:980,10260,34.99
2019/10/27 13:36:56:000,10280,33.99
2019/10/27 13:36:56:020,10300,32.8
2019/10/27 13:36:56:040,10320,31.73
2019/10/27 13:36:56:060,10340,30.56
2019/10/27 13:36:56:080,10360,29.43
2019/10/27 13:36:56:100,10380,28.42
2019/10/27 13:36:56:120,10400,27.5
2019/10/27 13:36:56:140,10420,26.8
2019/10/27 13:36:56:160,10440,26.22
2019/10/27 13:36:56:180,10460,25.72
2019/10/27 13:36:56:200,10480,25.43
2019/10/27 13:36:56:220,10500,25.16
2019/10/27 13:36:56:240,10520,24.94
2019/10/27 13:36:56:260,10540,24.83
2019/10/27 13:36:56:280,10560,24.66
2019/10/27 13:36:56:300,10580,24.48
2019/10/27 13:36:56:320,10600,24.37
2019/10/27 13:36:56:340,10620,24.37
2019/10/27 13:36:56:360,10640,24.51
2019/10/27 13:36:56:380,10660,24.71
2019/10/27 13:36:56:400,10680,24.88
2019/10/27 13:36:56:420,10700,25
2019/10/27 13:36:56:440,10720,25.15
2019/10/27 13:36:56:460,10740,25.26
2019/10/27 13:36:56:480,10760,25.2
2019/10/27 13:36:56:500,10780,24.93
2019/10/27 13:36:56:520,10800,24.61
2019/10/27 13:36:56:540,10820,24.2
2019/10/27 13:36:56:560,10840,23.68
2019/10/27 13:36:56:580,10860,23.3
2019/10/27 13:36:56:600,10880,22.78
2019/10/27 13:36:56:620,10900,22.32
2019/10/27 13:36:56:640,10920,21.89
2019/10/27 13:36:56:660,10940,21.55
2019/10/27 13:36:56:680,10960,21.44
2019/10/27 13:36:56:700,10980,21.33
2019/10/27 13:36:56:720,11000,21.32
2019/10/27 13:36:56:740,11020,21.41
2019/10/27 13:36:56:760,11040,21.52
2019/10/27 13:36:56:780,11060,21.72
2019/10/27 13:36:56:800,11080,21.94
2019/10/27 13:36:56:820,11100,22.14
2019/10/27 13:36:56:840,11120,22.24
2019/10/27 13:36:56:860,11140,22.21
2019/10/27 13:36:56:880,11160,22.07
2019/10/27 13:36:56:900,11180,21.86
2019/10/27 13:36:56:920,11200,21.6
2019/10/27 13:36:56:940,11220,21.25
2019/10/27 13:36:56:960,11240,20.76
2019/10/27 13:36:56:980,11260,20.27
2019/10/27 13:36:57:000,11280,19.83
2019/10/27 13:36:57:020,11300,19.42
2019/10/27 13:36:57:040,11320,19.1
2019/10/27 13:36:57:060,11340,18.93
2019/10/27 13:36:57:080,11360,18.85
2019/10/27 13:36:57:100,11380,18.82
2019/10/27 13:36:57:120,11400,18.78
2019/10/27 13:36:57:140,11420,18.68
2019/10/27 13:36:57:160,11440,18.68
2019/10/27 13:36:57:180,11460,18.73
2019/10/27 13:36:57:200,11480,18.79
2019/10/27 13:36:57:220,11500,18.81
2019/10/27 13:36:57:240,11520,18.75
2019/10/27 13:36:57:260,11540,18.68
2019/10/27 13:36:57:280,11560,18.56
2019/10/27 13:36:57:300,11580,18.4
2019/10/27 13:36:57:320,11600,18.19
2019/10/27 13:36:57:340,11620,17.92
2019/10/27 13:36:57:360,11640,17.62
2019/10/27 13:36:57:380,11660,17.23
2019/10/27 13:36:57:400,11680,16.82
2019/10/27 13:36:57:420,11700,16.38
2019/10/27 13:36:57:440,11720,15.93
2019/10/27 13:36:57:460,11740,15.53
2019/10/27 13:36:57:480,11760,15.16
2019/10/27 13:36:57:500,11780,14.88
2019/10/27 13:36:57:520,11800,14.66
2019/10/27 13:36:57:540,11820,14.42
2019/10/27 13:36:57:560,11840,14.21
2019/10/27 13:36:57:580,11860,13.96
2019/10/27 13:36:57:600,11880,13.71
2019/10/27 13:36:57:620,11900,13.58
2019/10/27 13:36:57:640,11920,13.6
2019/10/27 13:36:57:660,11940,13.57
2019/10/27 13:36:57:680,11960,13.55
2019/10/27 13:36:57:700,11980,13.56
2019/10/27 13:36:57:720,12000,13.54
2019/10/27 13:36:57:740,12020,13.57
2019/10/27 13:36:57:760,12040,13.56
2019/10/27 13:36:57:780,12060,13.51
2019/10/27 13:36:57:800,12080,13.45
2019/10/27 13:36:57:820,12100,13.35
2019/10/27 13:36:57:840,12120,13.2
2019/10/27 13:36:57:860,12140,12.96
2019/10/27 13:36:57:880,12160,12.72
2019/10/27 13:36:57:900,12180,12.39
2019/10/27 13:36:57:920,12200,12.05
2019/10/27 13:36:57:940,12220,11.66
2019/10/27 13:36:57:960,12240,11.32
2019/10/27 13:36:57:980,12260,11.01
2019/10/27 13:36:58:000,12280,10.74
2019/10/27 13:36:58:020,12300,10.53
2019/10/27 13:36:58:040,12320,10.38
2019/10/27 13:36:58:060,12340,10.31
2019/10/27 13:36:58:080,12360,10.28
2019/10/27 13:36:58:100,12380,10.41
2019/10/27 13:36:58:120,12400,10.53
2019/10/27 13:36:58:140,12420,10.58
2019/10/27 13:36:58:160,12440,10.69
2019/10/27 13:36:58:180,12460,10.77
2019/10/27 13:36:58:200,12480,10.79
2019/10/27 13:36:58:220,12500,10.82
2019/10/27 13:36:58:240,12520,10.83
2019/10/27 13:36:58:260,12540,10.84
2019/10/27 13:36:58:280,12560,10.78
2019/10/27 13:36:58:300,12580,10.67
2019/10/27 13:36:58:320,12600,10.52
2019/10/27 13:36:58:340,12620,10.47
2019/10/27 13:36:58:360,12640,10.51
2019/10/27 13:36:58:380,12660,10.53
2019/10/27 13:36:58:400,12680,10.59
2019/10/27 13:36:58:420,12700,10.65
2019/10/27 13:36:58:440,12720,10.75
2019/10/27 13:36:58:460,12740,10.8
2019/10/27 13:36:58:480,12760,10.82
2019/10/27 13:36:58:500,12780,10.8
2019/10/27 13:36:58:520,12800,10.66
2019/10/27 13:36:58:540,12820,10.45
2019/10/27 13:36:58:560,12840,10.2
2019/10/27 13:36:58:580,12860,9.9
2019/10/27 13:36:58:600,12880,9.52
2019/10/27 13:36:58:620,12900,9.11
2019/10/27 13:36:58:640,12920,8.71
2019/10/27 13:36:58:660,12940,8.27
2019/10/27 13:36:58:680,12960,7.81
2019/10/27 13:36:58:700,12980,7.42
2019/10/27 13:36:58:720,13000,7.1
2019/10/27 13:36:58:740,13020,6.82
2019/10/27 13:36:58:760,13040,6.57
2019/10/27 13:36:58:780,13060,6.38
2019/10/27 13:36:58:800,13080,6.32
2019/10/27 13:36:58:820,13100,6.36
2019/10/27 13:36:58:840,13120,6.35
2019/10/27 13:36:58:860,13140,6.35
2019/10/27 13:36:58:880,13160,6.38
2019/10/27 13:36:58:900,13180,6.38
2019/10/27 13:36:58:920,13200,6.39
2019/10/27 13:36:58:940,13220,6.42
2019/10/27 13:36:58:960,13240,6.48
2019/10/27 13:36:58:980,13260,6.56
2019/10/27 13:36:59:000,13280,6.72
2019/10/27 13:36:59:020,13300,6.92
2019/10/27 13:36:59:040,13320,7.13
2019/10/27 13:36:59:060,13340,7.32
2019/10/27 13:36:59:080,13360,7.57
2019/10/27 13:36:59:100,13380,7.82
