Name:,123
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_130614
2019/10/27 13:06:21:764,7060,19.33
2019/10/27 13:06:21:784,7080,18.33
2019/10/27 13:06:21:804,7100,17.52
2019/10/27 13:06:21:824,7120,17.18
2019/10/27 13:06:21:844,7140,17.14
2019/10/27 13:06:21:864,7160,17.31
2019/10/27 13:06:21:884,7180,17.64
2019/10/27 13:06:21:904,7200,18.05
2019/10/27 13:06:21:924,7220,18.57
2019/10/27 13:06:21:944,7240,19.11
2019/10/27 13:06:21:964,7260,19.6
2019/10/27 13:06:21:984,7280,19.98
2019/10/27 13:06:22:004,7300,20.2
2019/10/27 13:06:22:024,7320,20.22
2019/10/27 13:06:22:044,7340,20.06
2019/10/27 13:06:22:064,7360,19.75
2019/10/27 13:06:22:084,7380,19.27
2019/10/27 13:06:22:104,7400,18.66
2019/10/27 13:06:22:124,7420,17.96
2019/10/27 13:06:22:144,7440,17.2
2019/10/27 13:06:22:164,7460,16.38
2019/10/27 13:06:22:184,7480,15.55
2019/10/27 13:06:22:204,7500,14.77
2019/10/27 13:06:22:224,7520,14.06
2019/10/27 13:06:22:244,7540,13.45
2019/10/27 13:06:22:264,7560,12.99
2019/10/27 13:06:22:284,7580,12.69
2019/10/27 13:06:22:304,7600,12.51
2019/10/27 13:06:22:324,7620,12.3
2019/10/27 13:06:22:344,7640,12.17
2019/10/27 13:06:22:364,7660,12.04
2019/10/27 13:06:22:384,7680,11.96
2019/10/27 13:06:22:404,7700,11.89
2019/10/27 13:06:22:424,7720,11.88
2019/10/27 13:06:22:444,7740,11.91
2019/10/27 13:06:22:464,7760,11.99
2019/10/27 13:06:22:484,7780,12.09
2019/10/27 13:06:22:504,7800,12.21
2019/10/27 13:06:22:524,7820,12.36
2019/10/27 13:06:22:544,7840,12.48
2019/10/27 13:06:22:564,7860,12.57
2019/10/27 13:06:22:584,7880,12.64
2019/10/27 13:06:22:604,7900,12.69
2019/10/27 13:06:22:624,7920,12.71
2019/10/27 13:06:22:644,7940,12.69
2019/10/27 13:06:22:664,7960,12.64
2019/10/27 13:06:22:684,7980,12.59
2019/10/27 13:06:22:704,8000,12.52
2019/10/27 13:06:22:724,8020,12.44
2019/10/27 13:06:22:744,8040,12.33
2019/10/27 13:06:22:764,8060,12.22
2019/10/27 13:06:22:784,8080,12.09
2019/10/27 13:06:22:804,8100,11.97
2019/10/27 13:06:22:824,8120,11.89
2019/10/27 13:06:22:844,8140,11.76
2019/10/27 13:06:22:864,8160,11.68
2019/10/27 13:06:22:884,8180,11.58
2019/10/27 13:06:22:904,8200,11.5
2019/10/27 13:06:22:924,8220,11.4
2019/10/27 13:06:22:944,8240,11.29
2019/10/27 13:06:22:964,8260,11.21
2019/10/27 13:06:22:984,8280,11.11
2019/10/27 13:06:23:004,8300,10.98
2019/10/27 13:06:23:024,8320,10.85
2019/10/27 13:06:23:044,8340,10.75
2019/10/27 13:06:23:064,8360,10.64
2019/10/27 13:06:23:084,8380,10.55
2019/10/27 13:06:23:104,8400,10.46
2019/10/27 13:06:23:124,8420,10.42
2019/10/27 13:06:23:144,8440,10.39
2019/10/27 13:06:23:164,8460,10.4
2019/10/27 13:06:23:184,8480,10.46
2019/10/27 13:06:23:204,8500,10.51
2019/10/27 13:06:23:224,8520,10.59
2019/10/27 13:06:23:244,8540,10.7
2019/10/27 13:06:23:264,8560,10.81
2019/10/27 13:06:23:284,8580,10.9
2019/10/27 13:06:23:304,8600,10.98
2019/10/27 13:06:23:324,8620,11.04
2019/10/27 13:06:23:344,8640,11.09
2019/10/27 13:06:23:364,8660,11.09
2019/10/27 13:06:23:384,8680,11.03
2019/10/27 13:06:23:404,8700,10.96
2019/10/27 13:06:23:424,8720,10.87
2019/10/27 13:06:23:444,8740,10.8
2019/10/27 13:06:23:464,8760,10.68
2019/10/27 13:06:23:484,8780,10.57
2019/10/27 13:06:23:504,8800,10.48
2019/10/27 13:06:23:524,8820,10.42
2019/10/27 13:06:23:544,8840,10.37
2019/10/27 13:06:23:564,8860,10.35
2019/10/27 13:06:23:584,8880,10.33
2019/10/27 13:06:23:604,8900,10.36
2019/10/27 13:06:23:624,8920,10.37
2019/10/27 13:06:23:644,8940,10.39
2019/10/27 13:06:23:664,8960,10.41
2019/10/27 13:06:23:684,8980,10.38
2019/10/27 13:06:23:704,9000,10.35
