Name:,
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_132311
2019/10/27 13:23:20:855,9380,22.18
2019/10/27 13:23:20:875,9400,22.53
2019/10/27 13:23:20:895,9420,23.12
2019/10/27 13:23:20:915,9440,23.97
2019/10/27 13:23:20:935,9460,24.78
2019/10/27 13:23:20:955,9480,25.36
2019/10/27 13:23:20:975,9500,25.84
2019/10/27 13:23:20:995,9520,26.1
2019/10/27 13:23:21:015,9540,26.05
2019/10/27 13:23:21:035,9560,25.71
2019/10/27 13:23:21:055,9580,25.11
2019/10/27 13:23:21:075,9600,24.25
2019/10/27 13:23:21:095,9620,22.99
2019/10/27 13:23:21:115,9640,21.84
2019/10/27 13:23:21:135,9660,20.76
2019/10/27 13:23:21:155,9680,19.82
2019/10/27 13:23:21:175,9700,19
2019/10/27 13:23:21:195,9720,18.24
2019/10/27 13:23:21:215,9740,17.64
2019/10/27 13:23:21:235,9760,17.28
2019/10/27 13:23:21:255,9780,17.22
2019/10/27 13:23:21:275,9800,17.19
2019/10/27 13:23:21:295,9820,16.98
2019/10/27 13:23:21:315,9840,16.78
2019/10/27 13:23:21:335,9860,16.47
2019/10/27 13:23:21:355,9880,16.13
2019/10/27 13:23:21:375,9900,15.7
2019/10/27 13:23:21:395,9920,15.36
2019/10/27 13:23:21:415,9940,14.96
2019/10/27 13:23:21:435,9960,14.59
2019/10/27 13:23:21:455,9980,14.25
2019/10/27 13:23:21:475,10000,13.98
2019/10/27 13:23:21:495,10020,13.91
2019/10/27 13:23:21:515,10040,13.82
2019/10/27 13:23:21:535,10060,13.69
2019/10/27 13:23:21:555,10080,13.53
2019/10/27 13:23:21:575,10100,13.33
2019/10/27 13:23:21:595,10120,13.31
2019/10/27 13:23:21:615,10140,13.09
2019/10/27 13:23:21:635,10160,12.75
2019/10/27 13:23:21:655,10180,12.26
2019/10/27 13:23:21:675,10200,11.71
2019/10/27 13:23:21:695,10220,11.17
2019/10/27 13:23:21:715,10240,10.61
2019/10/27 13:23:21:735,10260,10.16
2019/10/27 13:23:21:755,10280,9.71
2019/10/27 13:23:21:775,10300,9.3
2019/10/27 13:23:21:795,10320,8.99
2019/10/27 13:23:21:815,10340,8.79
2019/10/27 13:23:21:835,10360,8.68
2019/10/27 13:23:21:855,10380,8.65
2019/10/27 13:23:21:875,10400,8.78
2019/10/27 13:23:21:895,10420,8.91
2019/10/27 13:23:21:915,10440,9.07
2019/10/27 13:23:21:935,10460,9.16
2019/10/27 13:23:21:955,10480,9.22
2019/10/27 13:23:21:975,10500,9.25
2019/10/27 13:23:21:995,10520,9.25
2019/10/27 13:23:22:015,10540,9.23
2019/10/27 13:23:22:035,10560,9.2
2019/10/27 13:23:22:055,10580,9.14
2019/10/27 13:23:22:075,10600,9.1
2019/10/27 13:23:22:095,10620,9.05
2019/10/27 13:23:22:115,10640,9.01
2019/10/27 13:23:22:135,10660,8.95
2019/10/27 13:23:22:155,10680,8.97
2019/10/27 13:23:22:175,10700,9.02
2019/10/27 13:23:22:195,10720,9.09
2019/10/27 13:23:22:215,10740,9.24
2019/10/27 13:23:22:235,10760,9.31
2019/10/27 13:23:22:255,10780,9.38
2019/10/27 13:23:22:275,10800,9.43
2019/10/27 13:23:22:295,10820,9.45
2019/10/27 13:23:22:315,10840,9.41
2019/10/27 13:23:22:335,10860,9.41
2019/10/27 13:23:22:355,10880,9.44
2019/10/27 13:23:22:375,10900,9.43
2019/10/27 13:23:22:395,10920,9.52
2019/10/27 13:23:22:415,10940,9.69
2019/10/27 13:23:22:435,10960,9.99
2019/10/27 13:23:22:455,10980,10.4
2019/10/27 13:23:22:475,11000,10.84
2019/10/27 13:23:22:495,11020,11.31
2019/10/27 13:23:22:515,11040,11.77
2019/10/27 13:23:22:535,11060,12.17
2019/10/27 13:23:22:555,11080,12.52
2019/10/27 13:23:22:575,11100,12.74
2019/10/27 13:23:22:595,11120,12.87
2019/10/27 13:23:22:615,11140,12.87
2019/10/27 13:23:22:635,11160,12.78
2019/10/27 13:23:22:655,11180,12.52
2019/10/27 13:23:22:675,11200,12.12
2019/10/27 13:23:22:695,11220,11.64
2019/10/27 13:23:22:715,11240,11.1
2019/10/27 13:23:22:735,11260,10.55
2019/10/27 13:23:22:755,11280,10.02
2019/10/27 13:23:22:775,11300,9.53
2019/10/27 13:23:22:795,11320,9.1
2019/10/27 13:23:22:815,11340,8.81
2019/10/27 13:23:22:835,11360,8.58
2019/10/27 13:23:22:855,11380,8.42
2019/10/27 13:23:22:875,11400,8.39
2019/10/27 13:23:22:895,11420,8.39
2019/10/27 13:23:22:915,11440,8.4
2019/10/27 13:23:22:935,11460,8.4
2019/10/27 13:23:22:955,11480,8.34
2019/10/27 13:23:22:975,11500,8.29
2019/10/27 13:23:22:995,11520,8.24
2019/10/27 13:23:23:015,11540,8.19
2019/10/27 13:23:23:035,11560,8.16
2019/10/27 13:23:23:055,11580,8.14
2019/10/27 13:23:23:075,11600,8.12
2019/10/27 13:23:23:095,11620,8.11
2019/10/27 13:23:23:115,11640,8.11
2019/10/27 13:23:23:135,11660,8.11
2019/10/27 13:23:23:155,11680,8.12
2019/10/27 13:23:23:175,11700,8.12
2019/10/27 13:23:23:195,11720,8.15
2019/10/27 13:23:23:215,11740,8.17
2019/10/27 13:23:23:235,11760,8.18
2019/10/27 13:23:23:255,11780,8.19
2019/10/27 13:23:23:275,11800,8.17
2019/10/27 13:23:23:295,11820,8.16
2019/10/27 13:23:23:315,11840,8.12
2019/10/27 13:23:23:335,11860,8.1
2019/10/27 13:23:23:355,11880,8.07
2019/10/27 13:23:23:375,11900,8.03
2019/10/27 13:23:23:395,11920,8.02
2019/10/27 13:23:23:415,11940,8.03
2019/10/27 13:23:23:435,11960,8.02
2019/10/27 13:23:23:455,11980,8.02
2019/10/27 13:23:23:475,12000,8.03
2019/10/27 13:23:23:495,12020,8.07
2019/10/27 13:23:23:515,12040,8.1
2019/10/27 13:23:23:535,12060,8.13
2019/10/27 13:23:23:555,12080,8.15
2019/10/27 13:23:23:575,12100,8.17
2019/10/27 13:23:23:595,12120,8.16
2019/10/27 13:23:23:615,12140,8.13
2019/10/27 13:23:23:635,12160,8.17
2019/10/27 13:23:23:655,12180,8.24
2019/10/27 13:23:23:675,12200,8.34
2019/10/27 13:23:23:695,12220,8.48
2019/10/27 13:23:23:715,12240,8.63
2019/10/27 13:23:23:735,12260,8.79
2019/10/27 13:23:23:755,12280,8.96
2019/10/27 13:23:23:775,12300,9.13
2019/10/27 13:23:23:795,12320,9.29
2019/10/27 13:23:23:815,12340,9.45
2019/10/27 13:23:23:835,12360,9.55
2019/10/27 13:23:23:855,12380,9.62
2019/10/27 13:23:23:875,12400,9.65
2019/10/27 13:23:23:895,12420,9.62
2019/10/27 13:23:23:915,12440,9.52
2019/10/27 13:23:23:935,12460,9.4
2019/10/27 13:23:23:955,12480,9.23
2019/10/27 13:23:23:975,12500,9.05
2019/10/27 13:23:23:995,12520,8.83
2019/10/27 13:23:24:015,12540,8.62
2019/10/27 13:23:24:035,12560,8.42
2019/10/27 13:23:24:055,12580,8.24
2019/10/27 13:23:24:075,12600,8.11
2019/10/27 13:23:24:095,12620,8.03
2019/10/27 13:23:24:115,12640,8.02
